word_d,pos_d,words_m,poss_m,word_h,pos_h,order,rules_h,rules_am
светло-зелёный,adj,светлый,adj,зелёный,adj,1;0,,
снежно-белый,adj,снежный,adj,белый,adj,1;0,,
угольно-чёрный,adj,угольный,adj,чёрный,adj,1;0,,
яблочно-холодный,adj,яблочный,adj,холодный,adj,1;0,,
орехово-смуглый,adj,ореховый,adj,смуглый,adj,1;0,,
бледно-зелёный,adj,бледный,adj,зелёный,adj,1;0,,
светло-голубой,adj,светлый,adj,голубой,adj,1;0,,
ярко-синий,adj,ярко-синий,adj,синий,adj,1;0,,
тёмно-коричневый,adj,тёмный,adj,коричневый,adj,1;0,,
ранневесенний,adj,ранний,adj,весенний,adj,1;0,,
скороспелый,adj,скорый,adj,спелый,adj,1;0,,
высокорослый,adj,высокий,adj,рослый,adj,1;0,,
легкоплавкий,adj,легкий,adj,плавкий,adj,1;0,,
сырокопчёный,adj,сырой,adj,копчёный,adj,1;0,,
холоднотянутый,adj,холодный,adj,тянутый,adj,1;0,,
быстроизменчивый,adj,быстрый,adj,изменчивый,adj,1;0,,
широкошумный,adj,широкий,adj,шумный,adj,1;0,,
вопросительно-растерянный,adj,вопросительный,adj,растерянный,adj,1;0,,
пёстро-коричневый,adj,пёстрый,adj,коричневый,adj,1;0,,
бело-рыжий,adj,белый,adj,рыжий,adj,1;0,,
лисье-рысий,adj,лисий,adj,рысий,adj,1;0,,
нагло-томный,adj,наглый,adj,томный,adj,1;0,,
злобно-бесстыже-хвастливый,adj,злобный;бесстыжий,adj;adj,хвастливый,adj,1;2;0,,
глухо-пепельно-оранжевый,adj,глухой;пепельный,adj;adj,оранжевый,adj,1;2;0,,
красно-бело-зелёный,adj,красный;белый,adj;adj,зелёный,adj,1;2;0,,
студёноводный,adj,студёный,adj,водный,adj,1;0,,
легкодымный,adj,легкий,adj,дымный,adj,1;0,,
широкопетлистый,adj,широкий,adj,петлистый,adj,1;0,,
малоазиатский,adj,малый,adj,азиатский,adj,1;0,,
электронно-вычислительный,adj,электронный,adj,вычислительный,adj,1;0,,
вертикально-сверлильный,adj,вертикальный,adj,сверлильный,adj,1;0,,
твёрдотопливный,adj,твёрдый,adj,твердотопливный,adj,1;0,,
горюче-смазочный,adj,горючий,adj,смазочный,adj,1;0,,
тактико-технический,adj,тактический,adj,технический,adj,1;0,,
верхневолжский,adj,верхний,adj,волжский,adj,1;0,,
великоустюжский,adj,великий,adj,устюжский,adj,1;0,,
южнородезийский,adj,южный,adj,родезийский,adj,1;0,,
нижнеднестровский,adj,нижний,adj,днестровский,adj,1;0,,
краснобогатырский,adj,красный,adj,богатырский,adj,1;0,,
разносторонний,adj,разный,adj,сторонний,adj,1;0,,
старомосковский,adj,старый,adj,московский,adj,1;0,,
цельнометаллический,adj,цельный,adj,металлический,adj,1;0,,
горнопроходческий,adj,горный,adj,проходческий,adj,1;0,,
чистошерстяной,adj,чистый,adj,шерстяной,adj,1;0,,
мелкозубчатый,adj,мелкий,adj,зубчатый,adj,1;0,,
крупнозернистый,adj,крупный,adj,зернистый,adj,1;0,,
крупнопузырчатый,adj,крупный,adj,пузырчатый,adj,1;0,,
тонковолокнистый,adj,тонкий,adj,волокнистый,adj,1;0,,
мелкокомковатый,adj,мелкий,adj,комковатый,adj,1;0,,
мелкокудрявый,adj,мелкий,adj,кудрявый,adj,1;0,,
вислобрюхатый,adj,вислый,adj,брюхатый,adj,1;0,,
продольно-строгальный,adj,продольный,adj,строгальный,adj,1;0,,
ярко-красный,adj,яркий,adj,красный,adj,1;0,,
горнопромышленный,adj,горный,adj,промышленный,adj,1;0,,
позднеспелый,adj,поздний,adj,спелый,adj,1;0,,
первоапрельский,adj,первый,adj,апрельский,adj,1;0,,
добрососедский,adj,добрый,adj,соседский,adj,1;0,,
средневозрастной,adj,средний,adj,возрастной,adj,1;0,,
тонкослоистый,adj,тонкий,adj,слоистый,adj,1;0,,
плосковязальный,adj,плоский,adj,вязальный,adj,1;0,,
общеизвестный,adj,общий,adj,известный,adj,1;0,,
общеевропейский,adj,общий,adj,европейский,adj,1;0,,
общеобязательный,adj,общий,adj,обязательный,adj,1;0,,
общепартийный,adj,общий,adj,партийный,adj,1;0,,
достопамятный,adj,достойный,adj,памятный,adj,1;0,,
достопочтенный,adj,достойный,adj,почтенный,adj,1;0,,
достопримечательный,adj,достойный,adj,примечательный,adj,1;0,,
достоуважаемый,adj,достойный,adj,уважаемый,adj,1;0,,
досточтимый,adj,достойный,adj,досточтимый,adj,1;0,,
удобоисполнимый,adj,удобный,adj,исполнимый,adj,1;0,,
неудобопонятный,adj,неудобный,adj,понятный,adj,1;0,,
взаимоуважительный,adj,взаимный,adj,уважительный,adj,1;0,,
обоюдовыгодный,adj,обоюдный,adj,выгодный,adj,1;0,,
обоюдоострый,adj,обоюдный,adj,острый,adj,1;0,,
тазобедренный,adj,таз,noun,бедренный,adj,1;0,,
мясо-молочный,adj,мясо,noun,молочный,adj,1;0,,
пусконаладочный,adj,пуск,noun,наладочный,adj,1;0,,
звуко-буквенный,adj,звук,noun,буквенный,adj,1;0,,
лесопарковый,adj,лес,noun,парковый,adj,1;0,,
газонефтяной,adj,газ,noun,нефтяной,adj,1;0,,
физико-математический,adj,физика,noun,математический,adj,1;0,,
товаропассажирский,adj,товар,noun,пассажирский,adj,1;0,,
засухоустойчивый,adj,засуха,noun,устойчивый,adj,1;0,,
пылевлагонепроницаемый,adj,пыль;влага,noun;noun,непроницаемый,adj,1;2;0,,
пожароопасный,adj,пожар,noun,опасный,adj,1;0,,
любвеобильный,adj,любовь,noun,обильный,adj,1;0,,
морозостойкий,adj,мороз,noun,стойкий,adj,1;0,,
камнедробильный,adj,камень,noun,дробильный,adj,1;0,,
полупрозрачный,adj,половина,noun,прозрачный,adj,1;0,,
жаропрочный,adj,жар,noun,прочный,adj,1;0,,
громоподобный,adj,гром,noun,подобный,adj,1;0,,
морозостойкий,adj,мороз,noun,стойкий,adj,1;0,,
трудоёмкий,adj,труд,noun,ёмкий,adj,1;0,,
огнеупорный,adj,огонь,noun,упорный,adj,1;0,,
платёжеспособный,adj,платёж,noun,способный,adj,1;0,,
танкодоступный,adj,танк,noun,доступный,adj,1;0,,
хлопкоуборочный,adj,хлопок,noun,уборочный,adj,1;0,,
лесопатрульный,adj,лес,noun,патрульный,adj,1;0,,
паровпускной,adj,пар,noun,впускной,adj,1;0,,
мужеподобный,adj,муж,noun,подобный,adj,1;0,,
звероподобный,adj,зверь,noun,подобный,adj,1;0,,
обезьяноподобный,adj,обезьяна,noun,подобный,adj,1;0,,
дельфиноподобный,adj,дельфин,noun,подобный,adj,1;0,,
чугунолитейный,adj,чугун,noun,литейный,adj,1;0,,
зубоврачебный,adj,зуб,noun,врачебный,adj,1;0,,
шерстоткацкий,adj,шерсть,noun,ткацкий,adj,1;0,,
паросиловой,adj,пар,noun,силовой,adj,1;0,,
нефтеналивной,adj,нефть,noun,наливной,adj,1;0,,
грузоподъёмный,adj,груз,noun,подъёмный,adj,1;0,,
хлебозаготовительный,adj,хлеб,noun,заготовительный,adj,1;0,,
шелкопрядильный,adj,шёлк,noun,прядильный,adj,1;0,,
теневыносливый,adj,тень,noun,выносливый,adj,1;0,,
засухоустойчивый,adj,засуха,noun,устойчивый,adj,1;0,,
жирорастворимый,adj,жир,noun,растворимый,adj,1;0,,
водонепроницаемый,adj,вода,noun,непроницаемый,adj,1;0,,
самоокупаемый,adj,сам,pron,окупаемый,adj,1;0,,
самодовольный,adj,сам,pron,довольный,adj,1;0,,
самоуверенный,adj,сам,pron,уверенный,adj,1;0,,
самоуглубленный,adj,сам,pron,углубленный,adj,1;0,,
самовлюбленный,adj,сам,pron,влюбленный,adj,1;0,,
самоновейший,adj,сам,pron,новейший,adj,1;0,,
самоновейший,adj,сам,pron,новейший,adj,1;0,,
самоважнейший,adj,сам,pron,важнейший,adj,1;0,,
самомалейший,adj,сам,pron,малейший,adj,1;0,,
самоценный,adj,сам,pron,ценный,adj,1;0,,
самоочевидный,adj,сам,pron,очевидный,adj,1;0,,
самовольный,adj,сам,pron,вольный,adj,1;0,,
самовластный,adj,сам,pron,властный,adj,1;0,,
самодвижущийся,adj,сам,pron,движущийся,adj,1;0,,
самотвердеющий,adj,сам,pron,твердеющий,adj,1;0,,
самопишущий,adj,сам,pron,пишущий,adj,1;0,,
самоопрокидывающийся,adj,сам,pron,опрокидывающийся,adj,1;0,,
всенародный,adj,всё,pron,народный,adj,1;0,,
всепокорнейший,adj,всё,pron,покорнейший,adj,1;0,,
всевозможный,adj,всё,pron,возможный,adj,1;0,,
всесильный,adj,всё,pron,сильный,adj,1;0,,
всеславный,adj,всё,pron,славный,adj,1;0,,
всемилостивый,adj,всё,pron,милостивый,adj,1;0,,
всесовершенный,adj,всё,pron,совершенный,adj,1;0,,
всеблагой,adj,всё,pron,благой,adj,1;0,,
всенижайший,adj,всё,pron,нижайший,adj,1;0,,
всероссийский,adj,всё,pron,российский,adj,1;0,,
всеевропейский,adj,всё,pron,европейский,adj,1;0,,
всечеловеческий,adj,всё,pron,человеческий,adj,1;0,,
ежевечерний,adj,еже-,prefixoid,вечерний,adj,1;0,,
ежемесячный,adj,еже-,prefixoid,месячный,adj,1;0,,
еженедельный,adj,еже-,prefixoid,недельный,adj,1;0,,
ежеминутный,adj,еже-,prefixoid,минутный,adj,1;0,,
ежевоскресный,adj,еже-,prefixoid,воскресный,adj,1;0,,
ежеосенний,adj,еже-,prefixoid,осенний,adj,1;0,,
ежесменный,adj,еже-,prefixoid,сменный,adj,1;0,,
ежемгновенный,adj,еже-,prefixoid,мгновенный,adj,1;0,,
псевдонародный,adj,псевдо,glroot,народный,adj,1;0,,
псевдорусский,adj,псевдо,glroot,русский,adj,1;0,,
псевдоноваторский,adj,псевдо,glroot,новаторский,adj,1;0,,
псевдоантичный,adj,псевдо,glroot,античный,adj,1;0,,
псевдоглубокий,adj,псевдо,glroot,глубокий,adj,1;0,,
квазинаучный,adj,квази,glroot,научный,adj,1;0,,
квазиреволюционный,adj,квази,glroot,революционный,adj,1;0,,
квазибезвыходный,adj,квази,glroot,безвыходный,adj,1;0,,
биоэлектрический,adj,био,glroot,электрический,adj,1;0,,
биостимулирующий,adj,био,glroot,стимулирующий,adj,1;0,,
геомагнитный,adj,гео,glroot,магнитный,adj,1;0,,
геоцентрический,adj,гео,glroot,центрический,adj,1;0,,
гелиоцентрический,adj,гелио,glroot,центрический,adj,1;0,,
гидроэнергетический,adj,гидро,glroot,энергетический,adj,1;0,,
гидроаккумулирующий,adj,микро,glroot,аккумулирующий,adj,1;0,,
микролитражный,adj,микро,glroot,литражный,adj,1;0,,
микропористый,adj,микро,glroot,пористый,adj,1;0,,
макрокристаллический,adj,макро,glroot,кристаллический,adj,1;0,,
монометаллический,adj,моно,glroot,металлический,adj,1;0,,
мономолекулярный,adj,моно,glroot,молекулярный,adj,1;0,,
полиметаллический,adj,поли,glroot,металлический,adj,1;0,,
политехнический,adj,поли,glroot,технический,adj,1;0,,
панамериканский,adj,пан,glroot,американский,adj,1;0,,
панславянский,adj,пан,glroot,славянский,adj,1;0,,
радиочастотный,adj,радио,glroot,частотный,adj,1;0,,
радиоуправляемый,adj,радио,glroot,управляемый,adj,1;0,,
телеуправляемый,adj,теле,glroot,управляемый,adj,1;0,,
телеизмерительный,adj,теле,glroot,измерительный,adj,1;0,,
дядистёпин,adj,,,,,,,
тетивалин,adj,,,,,,,
марьицаревнин,adj,,,,,,,
Настасьи Петровнин,adj,,,,,,,
синтетико-аналитический,adj,синтетический,adj,аналитический,adj,1;0,,
греко-латинский,adj,греческий,adj,латинский,adj,1;0,,
афро-азиатский,adj,африканский,adj,азиатский,adj,1;0,,
органо-минеральный,adj,органический,adj,минеральный,adj,1;0,,
анархо-синдикалистский,adj,анархичный,adj,синдикалистский,adj,1;0,,
англо-русский,adj,английский,adj,русский,adj,1;0,,
индоевропейский,adj,индийский,adj,европейский,adj,1;0,,
лироэпический,adj,лирический,adj,эпический,adj,1;0,,
лирикоэпический,adj,лирический,noun,эпический,adj,1;0,,
электромеханический,adj,электро,glroot,механический,adj,1;0,,
термоэлектрический,adj,термо,glroot,электрический,adj,1;0,,
агропромышленный,adj,агро,glroot,промышленный,adj,1;0,,
медико-биологический,adj,медицинский,adj,биологический,adj,1;0,,
сербохорватский,adj,сербский,adj,хорватский,adj,1;0,,
венгеро-советский,adj,венгерский,adj,советский,adj,1;0,,
агитмассовый,adj,агитационный,adj,массовый,adj,1;0,,
авиахимический,adj,авиа,glroot,химический,adj,1;0,,
автоподъёмный,adj,авто,glroot,подъёмный,adj,1;0,,
бензораздаточный,adj,бензо,glroot,раздаточный,adj,1;0,,
виброударный,adj,вибро,glroot,ударный,adj,1;0,,
виброустойчивый,adj,вибро,glroot,устойчивый,adj,1;0,,
гальваноударный,adj,гальвано,glroot,ударный,adj,1;0,,
механосборочный,adj,механо,glroot,сборочный,adj,1;0,,
механомонтажный,adj,механо,glroot,монтажный,adj,1;0,,
радиоустойчивый,adj,радио,glroot,устойчивый,adj,1;0,,
радиоуглеродный,adj,радио,glroot,углеродный,adj,1;0,,
сейсмостойкий,adj,сейсмо,glroot,стойкий,adj,1;0,,
сейсмоактивный,adj,сейсмо,glroot,активный,adj,1;0,,
термостойкий,adj,термо,glroot,стойкий,adj,1;0,,
термоядерный,adj,термо,glroot,ядерный,adj,1;0,,
турбореактивный,adj,турбо,glroot,реактивный,adj,1;0,,
фототелевизионный,adj,фото,glroot,телевизионный,adj,1;0,,
электродоильный,adj,электро,glroot,доильный,adj,1;0,,
электродвижущийся,adj,электро,glroot,движущийся,adj,1;0,,
энергоёмкий,adj,энерго,glroot,ёмкий,adj,1;0,,
мореплаватель,noun,море,noun,плавать,verb,1;0,rule211(verb + тель -> noun),
машиностроитель,noun,машина,noun,строить,verb,1;0,rule211(verb + тель -> noun),
работодатель,noun,работа,noun,дать,verb,1;0,rule211(verb + тель -> noun),
огнетушитель,noun,огонь,noun,тушить,verb,1;0,rule211(verb + тель -> noun),
звукосниматель,noun,звук,noun,снимать,verb,1;0,rule211(verb + тель -> noun),
снегоочиститель,noun,снег,noun,очистить,verb,1;0,rule211(verb + тель -> noun),
грузополучатель,noun,груз,noun,получать,verb,1;0,rule211(verb + тель -> noun),
навозоразбрасыватель,noun,навоз,noun,разбрасывать,verb,1;0,rule211(verb + тель -> noun),
горовосходитель,noun,гора,noun,восходить,verb,1;0,rule211(verb + тель -> noun),
кормоизмельчитель,noun,корм,noun,измельчить,verb,1;0,rule211(verb + тель -> noun),
номеронабиратель,noun,номер,noun,набирать,verb,1;0,rule211(verb + тель -> noun),
пятновыводитель,noun,пятно,noun,выводить,verb,1;0,rule211(verb + тель -> noun),
нервотрепатель,noun,нервы,noun,трепать,verb,1;0,rule211(verb + тель -> noun),
первооткрыватель,noun,первый,adj,открывать,verb,1;0,rule211(verb + тель -> noun),
долгожитель,noun,долгий,adj,жить,verb,1;0,rule211(verb + тель -> noun),
скоросшиватель,noun,скорый,adj,сшивать,verb,1;0,rule211(verb + тель -> noun),
громкоговоритель,noun,громкий,adj,говорить,verb,1;0,rule211(verb + тель -> noun),
глубокорыхлитель,noun,глубокий,adj,рыхлить,verb,1;0,rule211(verb + тель -> noun),
самоподаватель,noun,сам,pron,подавать,verb,1;0,rule211(verb + тель -> noun),
баснописец,noun,басня,noun,писать,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
молотобоец,noun,молот,noun,бить,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
конькобежец,noun,коньки,noun,бежать,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
полководец,noun,полк,noun,водить,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
языкотворец,noun,язык,noun,творить,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
канатоходец,noun,канат,noun,ходить,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
земледелец,noun,земля,noun,делать,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
землепроходец,noun,земля,noun,проходить,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
авианосец,noun,авиа,glroot,носить,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
космопроходец,noun,космос,noun,проходить,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
древоточец,noun,древо,noun,точить,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
камнебоец,noun,камень,noun,бить,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
молотобоец,noun,молот,noun,бить,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
китобоец,noun,кит,noun,бить,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
рудознатец,noun,руда,noun,знать,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
песнопевец,noun,песня,noun,петь,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
псалмопевец,noun,псалм,noun,петь,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
орденоносец,noun,орден,noun,носить,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
письмоносец,noun,письмо,noun,носить,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
броненосец,noun,броня,noun,носить,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
торпедоносец,noun,торпеда,noun,носить,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
вертолётоносец,noun,вертолёт,noun,носить,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
славолюбец,noun,слава,noun,любить,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
честолюбец,noun,честь,noun,любить,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
жизнелюбец,noun,жизнь,noun,любить,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
лыжебежец,noun,лыжи,noun,бежать,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
правдоборец,noun,правда,noun,бороться,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
ясновидец,noun,ясный,adj,видеть,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
скорописец,noun,скорый,adj,писать,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
самописец,noun,сам,pron,писать,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
первопроходец,noun,первый,adj,проходить,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
троеборец,noun,трое,num,бороться,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
пятиборец,noun,пять,num,бороться,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
многоборец,noun,много,num,бороться,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
себялюбец,noun,себя,pron,любить,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
новобранец,noun,новый,adj,брать,verb,1;0,rule216(verb + ец/нец/енец/омец -> noun),
судосборщик,noun,судно,noun,собирать,verb,1;0,rule213(verb + щик -> noun),
газосварщик,noun,газ,noun,сварить,verb,1;0,rule213(verb + щик -> noun),
водоотливщик,noun,вода,noun,отливать,verb,1;0,rule213(verb + щик -> noun),
маслобойщик,noun,масло,noun,бить,verb,1;0,rule213(verb + щик -> noun),
путеобходчик,noun,путь,noun,обходить,verb,1;0,rule213(verb + щик -> noun),
снегопогрузчик,noun,снег,noun,погрузить,verb,1;0,rule213(verb + щик -> noun),
словолитчик,noun,слово,noun,лить,verb,1;0,rule213(verb + щик -> noun),
газопайщик,noun,газ,noun,паять,verb,1;0,rule213(verb + щик -> noun),
звездолётчик,noun,звезда,noun,лететь,verb,1;0,rule213(verb + щик -> noun),
асфальтоукладчик,noun,асфальт,noun,укладывать,verb,1;0,rule213(verb + щик -> noun),
свеклопогрузчик,noun,свёкла,noun,погрузить,verb,1;0,rule213(verb + щик -> noun),
сталеплавильщик,noun,сталь,noun,плавить,verb,1;0,rule214(verb + льщик -> noun),
сноповязальщик,noun,сноп,noun,вязать,verb,1;0,rule214(verb + льщик -> noun),
шелкомотальщик,noun,шёлк,noun,мотать,verb,1;0,rule214(verb + льщик -> noun),
камнедробильщик,noun,камень,noun,дробить,verb,1;0,rule214(verb + льщик -> noun),
самопрядильщик,noun,сам,pron,прясть,verb,1;0,rule214(verb + льщик -> noun),
зерносушильщик,noun,зерно,noun,сушить,verb,1;0,rule214(verb + льщик -> noun),
льнотеребильщик,noun,лён,noun,теребить,verb,1;0,rule214(verb + льщик -> noun),
рукомойник,noun,рука,noun,мыть,verb,1;0,rule212(verb + ник/еник/енник/ик -> noun),
мочеточник,noun,моча,noun,точить,verb,1;0,rule212(verb + ник/еник/енник/ик -> noun),
токоприемник,noun,ток,noun,принимать,verb,1;0,rule212(verb + ник/еник/енник/ик -> noun),
токосъемник,noun,ток,noun,снимать,verb,1;0,rule212(verb + ник/еник/енник/ик -> noun),
судоподъемник,noun,судно,noun,поднимать,verb,1;0,rule212(verb + ник/еник/енник/ик -> noun),
паросборник,noun,пар,noun,собирать,verb,1;0,rule212(verb + ник/еник/енник/ик -> noun),
мусоросборник,noun,мусор,noun,собирать,verb,1;0,rule212(verb + ник/еник/енник/ик -> noun),
идолопоклонник,noun,идол,noun,поклоняться,verb,1;0,rule212(verb + ник/еник/енник/ик -> noun),
клятвопреступник,noun,клятва,noun,преступать,verb,1;0,rule212(verb + ник/еник/енник/ик -> noun),
богохульник,noun,бог,noun,хулить,verb,1;0,rule212(verb + ник/еник/енник/ик -> noun),
монеторазменник,noun,монета,noun,разменять,verb,1;0,rule212(verb + ник/еник/енник/ик -> noun),
соломоподъемник,noun,солома,noun,поднимать,verb,1;0,rule212(verb + ник/еник/енник/ик -> noun),
греховодник,noun,грех,noun,водить,verb,1;0,rule212(verb + ник/еник/енник/ик -> noun),
низкопоклонник,noun,низкий,adj,поклоняться,verb,1;0,rule212(verb + ник/еник/енник/ик -> noun),
водокачка,noun,вода,noun,качать,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
мясорубка,noun,мясо,noun,рубить,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
зубочистка,noun,зуб,noun,чистить,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
краскотёрка,noun,краска,noun,тереть,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
мышеловка,noun,мышь,noun,ловить,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
уховёртка,noun,ухо,noun,вертеть,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
поломойка,noun,пол,noun,мыть,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
посудомойка,noun,посуда,noun,мыть,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
землеройка,noun,земля,noun,рыть,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
телогрейка,noun,тело,noun,греть,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
сластоежка,noun,сласть,noun,есть,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
парооттайка,noun,пар,noun,оттаять,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
газоочистка,noun,газ,noun,чистить,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
клеверотёрка,noun,клевер,noun,тереть,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
кофеварка,noun,кофе,noun,варить,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
кофемолка,noun,кофе,noun,молоть,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
молоковарка,noun,молоко,noun,варить,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
овощечистка,noun,овощ,noun,чистить,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
картофелепечка,noun,картофель,noun,печь,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
кожемяка,noun,кожа,noun,мять,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
бумагомарака,noun,бумага,noun,марать,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
скороварка,noun,скорый,adj,варить,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
скороговорка,noun,скорый,adj,говорить,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
белошвейка,noun,белый,adj,шить,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
золотошвейка,noun,золотой,adj,шить,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
сладкоежка,noun,сладкий,adj,есть,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
самокрутка,noun,сам,pron,крутить,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
самосейка,noun,сам,pron,сеять,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
самоучка,noun,сам,pron,учить,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
всезнайка,noun,всё,pron,знать,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
самосброска,noun,сам,pron,сбросить,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
самоскидка,noun,сам,pron,скидывать,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
малодойка,noun,мало,num,доить,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
многознайка,noun,много,num,знать,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
малоежка,noun,мало,num,есть,verb,1;0,rule262(verb + к(а)/овк(а)/ёжк(а) -> noun),
сенокосилка,noun,сено,noun,косить,verb,1;0,rule228(verb + лк(а) -> noun),
картофелесажалка,noun,карта,noun,сажать,verb,1;0,rule228(verb + лк(а) -> noun),
сноповязалка,noun,сноп,noun,вязать,verb,1;0,rule228(verb + лк(а) -> noun),
землечерпалка,noun,земля,noun,черпать,verb,1;0,rule228(verb + лк(а) -> noun),
камнедробилка,noun,камень,noun,дробить,verb,1;0,rule228(verb + лк(а) -> noun),
снеготаялка,noun,снег,noun,таять,verb,1;0,rule228(verb + лк(а) -> noun),
соковыжималка,noun,сок,noun,выживать,verb,1;0,rule228(verb + лк(а) -> noun),
плодоовощесушилка,noun,плод;овощ,noun;noun,сушить,verb,1;2;0,rule228(verb + лк(а) -> noun),
газонокосилка,noun,газон,noun,косить,verb,1;0,rule228(verb + лк(а) -> noun),
коноплемялка,noun,конопля,noun,мять,verb,1;0,rule228(verb + лк(а) -> noun),
кормодробилка,noun,корм,noun,дробить,verb,1;0,rule228(verb + лк(а) -> noun),
мясоотбивалка,noun,мясо,noun,отбивать,verb,1;0,rule228(verb + лк(а) -> noun),
рыборазводня,noun,рыба,noun,разводить,verb,1;0,rule267(verb + н(я)/отн(я)/овн(я) -> noun),
каменоломня,noun,камень,noun,ломать,verb,1;0,rule267(verb + н(я)/отн(я)/овн(я) -> noun),
пивоварня,noun,пиво,noun,варить,verb,1;0,rule267(verb + н(я)/отн(я)/овн(я) -> noun),
винокурня,noun,вино,noun,курить,verb,1;0,rule267(verb + н(я)/отн(я)/овн(я) -> noun),
лесопильня,noun,лес,noun,пилить,verb,1;0,rule267(verb + н(я)/отн(я)/овн(я) -> noun),
мукомольня,noun,мука,noun,молоть,verb,1;0,rule267(verb + н(я)/отн(я)/овн(я) -> noun),
живодёрня,noun,живой,adj,драть,verb,1;0,rule267(verb + н(я)/отн(я)/овн(я) -> noun),
