,inf,per1,per3,pred,right,equals
5248,обмусливать,обмусливаю,обмусливает,1,1,True
5249,отворачиваться,отворачиваюсь,отворачивается,1,1,True
5250,засчитать,засчитаю,засчитает,1,1,True
5251,удручаться,удручаюсь,удручается,1,1,True
5252,поскромничать,поскромничаю,поскромничает,1,1,True
5253,намаяться,намаюсь,намается,6,6,True
5254,поплакаться,поплачусь,поплачется,6,6,True
5255,крохоборничать,крохоборничаю,крохоборничает,1,1,True
5256,отвозиться,отвожусь,отвозится,4,4,True
5257,котонизировать,котонизирую,котонизирует,2,2,True
5258,паять,паяю,паяет,1,1,True
5259,жамкать,жамкаю,жамкает,1,1,True
5260,баллотироваться,баллотируюсь,баллотируется,2,2,True
5261,смолчать,смолчу,смолчит,5,5,True
5262,наодеколониться,наодеколонюсь,наодеколонится,4,4,True
5263,лечиться,лечусь,лечится,4,4,True
5264,дослуживать,дослуживаю,дослуживает,1,1,True
5265,оплетать,оплетаю,оплетает,1,1,True
5266,сблевать,сблюю,сблюёт,2,2,True
5267,наволочить,наволочу,наволочит,4,4,True
5268,взбивать,взбиваю,взбивает,1,1,True
5269,осениться,осенюсь,осенится,4,4,True
5270,столбить,столблю,столбит,4,4,True
5271,умилостивлять,умилостивляю,умилостивляет,1,1,True
5272,подписывать,подписываю,подписывает,1,1,True
5273,разориться,разорюсь,разорится,4,4,True
5274,рыться,роюсь,роется,12ы,12ы,True
5275,низлагать,низлагаю,низлагает,1,1,True
5276,попечься,попекусь,попечётся,8к,8к,True
5277,обрекаться,обрекаюсь,обрекается,1,1,True
5278,тяжелеть,тяжелею,тяжелеет,1,1,True
5279,помарывать,помарываю,помарывает,1,1,True
5280,осложнить,осложню,осложнит,4,4,True
5281,забулькать,забулькаю,забулькает,1,1,True
5282,клюнуть,клюну,клюнет,3,3,True
5283,перевязать,перевяжу,перевяжет,6,6,True
5284,вымолиться,вымолюсь,вымолится,4,4,True
5285,излучить,излучу,излучит,4,4,True
5286,развенчиваться,развенчиваюсь,развенчивается,1,1,True
5287,подкрякнуть,подкрякну,подкрякнет,3,3,True
5288,разваливать,разваливаю,разваливает,1,1,True
5289,раскланиваться,раскланиваюсь,раскланивается,1,1,True
5290,побагроветь,побагровею,побагровеет,1,1,True
5291,намечаться,намечаюсь,намечается,1,1,True
5292,упластать,упластаю,упластает,1,1,True
5293,хмурить,хмурю,хмурит,4,4,True
5294,подкрошить,подкрошу,подкрошит,4,4,True
5295,праздничать,праздничаю,праздничает,1,1,True
5296,потереться,потрусь,потрётся,9,9,True
5297,докрашивать,докрашиваю,докрашивает,1,1,True
5298,хворать,хвораю,хворает,1,1,True
5299,распаляться,распаляюсь,распаляется,1,1,True
5300,позвониться,позвонюсь,позвонится,4,4,True
5301,натравить,натравлю,натравит,4,4,True
5302,поддолбить,поддолблю,поддолбит,4,4,True
5303,внестись,внесусь,внесётся,7с,7с,True
5304,рассудить,рассужу,рассудит,4,4,True
5305,подкаливать,подкаливаю,подкаливает,1,1,True
5306,отбарабанить,отбарабаню,отбарабанит,4,4,True
5307,полюбоваться,полюбуюсь,полюбуется,2,2,True
5308,лелеять,лелею,лелеет,6,6,True
5309,поклепать,поклепаю,поклепает,1,6,False
5310,озабочиваться,озабочиваюсь,озабочивается,1,1,True
5311,нездоровиться,,,4,4,True
5312,овеществлять,овеществляю,овеществляет,1,1,True
5313,переселить,переселю,переселит,4,4,True
5314,испариться,испарюсь,испарится,4,4,True
5315,зацеловать,зацелую,зацелует,2,2,True
5316,насусливать,насусливаю,насусливает,1,1,True
5317,устыжать,устыжаю,устыжает,1,1,True
5318,воспевать,воспеваю,воспевает,1,1,True
5319,доспаться,досплюсь,доспится,5,5,True
5320,распаяться,распаяюсь,распаяется,1,1,True
5321,ведать,ведаю,ведает,1,1,True
5322,подмораживать,подмораживаю,подмораживает,1,1,True
5323,отстранять,отстраняю,отстраняет,1,1,True
5324,переплавить,переплавлю,переплавит,4,4,True
5325,жительствовать,жительствую,жительствует,2,2,True
5326,заезжать,заезжаю,заезжает,1,1,True
5327,повырубить,повырублю,повырубит,4,4,True
5328,переустраивать,переустраиваю,переустраивает,1,1,True
5329,бацнуть,бацну,бацнет,3,3,True
5330,вспухнуть,вспухну,вспухнет,3,3,True
5331,ухудшиться,ухудшусь,ухудшится,4,4,True
5332,шаровать,шарую,шарует,2,2,True
5333,пересмехнуться,пересмехнусь,пересмехнётся,3,3,True
5334,измордовать,измордую,измордует,2,2,True
5335,отцепить,отцеплю,отцепит,4,4,True
5336,утачиваться,утачиваюсь,утачивается,1,1,True
5337,пригорюниваться,пригорюниваюсь,пригорюнивается,1,1,True
5338,слупливаться,слупливаюсь,слупливается,1,1,True
5339,раскрываться,раскрываюсь,раскрывается,1,1,True
5340,измусливать,измусливаю,измусливает,1,1,True
5341,этимологизировать,этимологизирую,этимологизирует,2,2,True
5342,хлопнуться,хлопнусь,хлопнется,3,3,True
5343,промучить,промучаю,промучает,4,4,True
5344,сталкивать,сталкиваю,сталкивает,1,1,True
5345,просветляться,просветляюсь,просветляется,1,1,True
5346,грешить,грешу,грешит,4,4,True
5347,электризовать,электризую,электризует,2,2,True
5348,отучнеть,отучнею,отучнеет,1,1,True
5349,спаиваться,спаиваюсь,спаивается,1,1,True
5350,приучиться,приучусь,приучится,4,4,True
5351,перечаливать,перечаливаю,перечаливает,1,1,True
5352,вымирать,вымираю,вымирает,1,1,True
5353,провозглашать,провозглашаю,провозглашает,1,1,True
5354,покручиниться,покручинюсь,покручинится,4,4,True
5355,принюхаться,принюхаюсь,принюхается,1,1,True
5356,припрятать,припрячу,припрячет,6,6,True
5357,спроказить,спрокажу,спроказит,4,4,True
5358,отхлопаться,отхлопаюсь,отхлопается,1,1,True
5359,перебаллотировать,перебаллотирую,перебаллотирует,2,2,True
5360,вывить,вывью,вывьет,11,11,True
5361,вколоться,вколюсь,вколется,10ол,10ол,True
5362,подтачать,подтачаю,подтачает,1,1,True
5363,раздробить,раздроблю,раздробит,4,4,True
5364,затруднять,затрудняю,затрудняет,1,1,True
5365,отхлопывать,отхлопываю,отхлопывает,1,1,True
5366,излениться,изленюсь,изленится,4,4,True
5367,поступиться,поступлюсь,поступится,4,4,True
5368,хмелить,хмелю,хмелит,4,4,True
5369,намазаться,намажусь,намажется,6,6,True
5370,подпоясать,подпояшу,подпояшет,6,6,True
5371,оконтурить,оконтурю,оконтурит,4,4,True
5372,сосчитать,сосчитаю,сосчитает,1,1,True
5373,проутюжить,проутюжу,проутюжит,4,4,True
5374,разниматься,разнимаюсь,разнимается,1,1,True
5375,отхлестать,отхлещу,отхлещет,6,6,True
5376,замарать,замараю,замарает,1,1,True
5377,ссекать,ссекаю,ссекает,1,1,True
5378,побриться,побреюсь,побреется,12брить,12брить,True
5379,облазить,облажу,облазит,4,4,True
5380,заворковать,заворкую,заворкует,2,2,True
5381,просыхать,просыхаю,просыхает,1,1,True
5382,осложнять,осложняю,осложняет,1,1,True
5383,мазурничать,мазурничаю,мазурничает,1,1,True
5384,оттрястись,оттрясусь,оттрясётся,7с,7с,True
5385,журить,журю,журит,4,4,True
5386,прилетать,прилетаю,прилетает,1,1,True
5387,изобразить,изображу,изобразит,4,4,True
5388,сощуриваться,сощуриваюсь,сощуривается,1,1,True
5389,умучить,умучаю,умучает,4,4,True
5390,размесить,размешу,размесит,4,4,True
5391,порядить,поряжу,порядит,4,4,True
5392,расценить,расценю,расценит,4,4,True
5393,упрекнуть,упрекну,упрекнёт,3,3,True
5394,дезорганизовываться,дезорганизовываюсь,дезорганизовывается,1,1,True
5395,прогрызться,прогрызусь,прогрызётся,7з,7з,True
5396,исполнять,исполняю,исполняет,1,1,True
5397,поднять,подниму,поднимет,14им,14им,True
5398,помрачить,помрачу,помрачит,4,4,True
5399,втасовывать,втасовываю,втасовывает,1,1,True
5400,поворотиться,поворочусь,поворотится,4,4,True
5401,повергнуть,повергну,повергнет,3,3,True
5402,закатываться,закатываюсь,закатывается,1,1,True
5403,засиживать,засиживаю,засиживает,1,1,True
5404,наездничать,наездничаю,наездничает,1,1,True
5405,переменять,переменяю,переменяет,1,1,True
5406,аппретировать,аппретирую,аппретирует,2,2,True
5407,зажаривать,зажариваю,зажаривает,1,1,True
5408,забредить,забрежу,забредит,4,4,True
5409,разлохмачиваться,разлохмачиваюсь,разлохмачивается,1,1,True
5410,наторкать,наторкаю,наторкает,1,1,True
5411,перерисовать,перерисую,перерисует,2,2,True
5412,пересыпаться,пересыпаюсь,пересыпается,1,1,True
5413,полеветь,полевею,полевеет,1,1,True
5414,присыпать,присыплю,присыпет,1,1,True
5415,тпрукать,тпрукаю,тпрукает,1,1,True
5416,обнаружиться,обнаружусь,обнаружится,4,4,True
5417,сживаться,сживаюсь,сживается,1,1,True
5418,приспать,присплю,приспит,5,5,True
5419,вырваться,вырвусь,вырвется,6,6,True
5420,прорубиться,прорублюсь,прорубится,4,4,True
5421,торочить,торочу,торочит,4,4,True
5422,перелизать,перелижу,перелижет,6,6,True
5423,повыдирать,повыдираю,повыдирает,1,1,True
5424,заходить,захожу,заходит,4,4,True
5425,осмолить,осмолю,осмолит,4,4,True
5426,отсыпаться,отсыпаюсь,отсыпается,1,1,True
5427,опушать,опушаю,опушает,1,1,True
5428,изменяться,изменяюсь,изменяется,1,1,True
5429,приторговать,приторгую,приторгует,2,2,True
5430,растужиться,растужусь,растужится,4,4,True
5431,избить,изобью,изобьёт,11,11,True
5432,откушать,откушаю,откушает,1,1,True
5433,пересыпать,пересыплю,пересыпет,1,1,True
5434,хряскать,хряскаю,хряскает,1,1,True
5435,прокидывать,прокидываю,прокидывает,1,1,True
5436,выскоблиться,выскоблюсь,выскоблится,4,4,True
5437,мчаться,мчусь,мчится,5,5,True
5438,стянуться,стянусь,стянется,3,3,True
5439,прилипнуть,прилипну,прилипнет,3,3,True
5440,напророчить,напророчу,напророчит,4,4,True
5441,причащаться,причащаюсь,причащается,1,1,True
5442,будоражить,будоражу,будоражит,4,4,True
5443,сменять,сменяю,сменяет,1,1,True
5444,прилинковывать,прилинковываю,прилинковывает,1,1,True
5445,поить,пою,поит,4,4,True
5446,понабраться,,,6,6,True
5447,намудрствовать,намудрствую,намудрствует,2,2,True
5448,взрыхлить,взрыхлю,взрыхлит,4,4,True
5449,защебенивать,защебениваю,защебенивает,1,1,True
5450,тенькнуть,тенькну,тенькнет,3,3,True
5451,завяливаться,завяливаюсь,завяливается,1,1,True
5452,приминаться,приминаюсь,приминается,1,1,True
5453,подковывать,подковываю,подковывает,1,1,True
5454,оживляться,оживляюсь,оживляется,1,1,True
5455,нагрузить,нагружу,нагрузит,4,4,True
5456,пригревать,пригреваю,пригревает,1,1,True
5457,нагрубить,нагрублю,нагрубит,4,4,True
5458,устроиться,устроюсь,устроится,4,4,True
5459,придавить,придавлю,придавит,4,4,True
5460,синеть,синею,синеет,1,1,True
5461,зацарапаться,зацарапаюсь,зацарапается,1,1,True
5462,случить,случу,случит,4,4,True
5463,окучивать,окучиваю,окучивает,1,1,True
5464,вчинить,вчиню,вчинит,4,4,True
5465,ютиться,ючусь,ютится,4,4,True
5466,вознести,вознесу,вознесёт,7с,7с,True
5467,наставать,настаю,настаёт,13,13,True
5468,дымить,дымлю,дымит,4,4,True
5469,укупоривать,укупориваю,укупоривает,1,1,True
5470,обседать,обседаю,обседает,1,1,True
5471,облачиться,облачусь,облачится,4,4,True
5472,сблудить,сблужу,сблудит,4,4,True
5473,плачивать,плачиваю,плачивает,1,1,True
5474,обезопасить,обезопашу,обезопасит,4,4,True
5475,метать,метаю,метает,1,1,True
5476,уронить,уроню,уронит,4,4,True
5477,куривать,куриваю,куривает,1,1,True
5478,допаять,допаяю,допаяет,1,1,True
5479,перемерять,перемеряю,перемеряет,1,1,True
5480,ввергнуться,ввергнусь,ввергнется,3,3,True
5481,намелить,намелю,намелит,4,4,True
5482,оплодотвориться,оплодотворюсь,оплодотворится,4,4,True
5483,сосредоточивать,сосредоточиваю,сосредоточивает,1,1,True
5484,кровавить,кровавлю,кровавит,4,4,True
5485,пристраститься,пристращусь,пристрастится,4,4,True
5486,веселить,веселю,веселит,4,4,True
5487,кувырнуть,кувырну,кувырнёт,3,3,True
5488,родиться,рожусь,родится,4,4,True
5489,проморозить,проморожу,проморозит,4,4,True
5490,вешить,вешу,вешит,4,4,True
5491,приспособить,приспособлю,приспособит,4,4,True
5492,напхать,напхаю,напхает,1,1,True
5493,вышныривать,вышныриваю,вышныривает,1,1,True
5494,утеплиться,утеплюсь,утеплится,4,4,True
5495,чествовать,чествую,чествует,2,2,True
5496,довязывать,довязываю,довязывает,1,1,True
5497,приканчивать,приканчиваю,приканчивает,1,1,True
5498,вымыливать,вымыливаю,вымыливает,1,1,True
5499,отыграть,отыграю,отыграет,1,1,True
5500,наглядеться,нагляжусь,наглядится,5,5,True
5501,подюжеть,подюжею,подюжеет,1,1,True
5502,преуспеть,преуспею,преуспеет,1,1,True
5503,перегруппировывать,перегруппировываю,перегруппировывает,1,1,True
5504,утрачиваться,утрачиваюсь,утрачивается,1,1,True
5505,прихрамывать,прихрамываю,прихрамывает,1,1,True
5506,увинтить,увинчу,увинтит,4,4,True
5507,припрыгнуть,припрыгну,припрыгнет,3,3,True
5508,размагничиваться,размагничиваюсь,размагничивается,1,1,True
5509,оформлять,оформляю,оформляет,1,1,True
5510,нацедить,нацежу,нацедит,4,4,True
5511,раскалить,раскалю,раскалит,4,4,True
5512,офранцуживаться,офранцуживаюсь,офранцуживается,1,1,True
5513,полакомиться,полакомлюсь,полакомится,4,4,True
5514,затесаться,затешусь,затешется,6,6,True
5515,втачивать,втачиваю,втачивает,1,1,True
5516,размаиваться,размаиваюсь,размаивается,1,1,True
5517,закруглиться,закруглюсь,закруглится,4,4,True
5518,прожаться,прожмусь,прожмётся,14м,14м,True
5519,залететь,залечу,залетит,5,5,True
5520,отдариться,отдарюсь,отдарится,4,4,True
5521,курлыкать,курлыкаю,курлыкает,1,6,False
5522,делить,делю,делит,4,4,True
5523,наркотизировать,наркотизирую,наркотизирует,2,2,True
5524,авторизовать,авторизую,авторизует,2,2,True
5525,напарить,напарю,напарит,4,4,True
5526,насвистеть,насвищу,насвистит,5,5,True
5527,подбивать,подбиваю,подбивает,1,1,True
5528,шатировать,шатирую,шатирует,2,2,True
5529,отлаиваться,отлаиваюсь,отлаивается,1,1,True
5530,наторговать,наторгую,наторгует,2,2,True
5531,святиться,свячусь,святится,4,4,True
5532,конструировать,конструирую,конструирует,2,2,True
5533,загоготать,загогочу,загогочет,6,6,True
5534,увеличиться,увеличусь,увеличится,4,4,True
5535,рассудиться,рассужусь,рассудится,4,4,True
5536,порастаскать,порастаскаю,порастаскает,1,1,True
5537,заберечь,заберегу,забережёт,8г,8г,True
5538,вкалывать,вкалываю,вкалывает,1,1,True
5539,нарядить,наряжу,нарядит,4,4,True
5540,возобновиться,возобновлюсь,возобновится,4,4,True
5541,свыкнуться,свыкнусь,свыкнется,3,3,True
5542,упиться,упьюсь,упьётся,11,11,True
5543,прогневать,прогневаю,прогневает,1,1,True
5544,обшарпываться,обшарпываюсь,обшарпывается,1,1,True
5545,роскошествовать,роскошествую,роскошествует,2,2,True
5546,повредить,поврежу,повредит,4,4,True
5547,пропасть,пропаду,пропадёт,7д,7д,True
5548,пошвырять,пошвыряю,пошвыряет,1,1,True
5549,рапортоваться,рапортуюсь,рапортуется,2,2,True
5550,обезводеть,обезводею,обезводеет,1,1,True
5551,срастаться,срастаюсь,срастается,1,1,True
5552,буянить,буяню,буянит,4,4,True
5553,перехватывать,перехватываю,перехватывает,1,1,True
5554,подмаргивать,подмаргиваю,подмаргивает,1,1,True
5555,перебраниться,перебранюсь,перебранится,4,4,True
5556,дезактивировать,дезактивирую,дезактивирует,2,2,True
5557,зашпаклеваться,зашпаклююсь,зашпаклюется,2,2,True
5558,раскидывать,раскидываю,раскидывает,1,1,True
5559,оттаять,оттаю,оттает,6,6,True
5560,прицеплять,прицепляю,прицепляет,1,1,True
5561,столочься,столкусь,столчётся,8к,8к,True
5562,износить,изношу,износит,4,4,True
5563,оторвать,оторву,оторвёт,6,6,True
5564,артикулировать,артикулирую,артикулирует,2,2,True
5565,зафилософствовать,зафилософствую,зафилософствует,2,2,True
5566,обюрократиться,обюрокрачусь,обюрократится,4,4,True
5567,разругаться,разругаюсь,разругается,1,1,True
5568,избаловать,избалую,избалует,2,2,True
5569,покапывать,покапываю,покапывает,1,1,True
5570,кликать,кличу,кличет,6,1,False
5571,вышмыгивать,вышмыгиваю,вышмыгивает,1,1,True
5572,намащивать,намащиваю,намащивает,1,1,True
5573,мараться,мараюсь,марается,1,1,True
5574,отлезть,отлезу,отлезет,7з,7з,True
5575,распучивать,распучиваю,распучивает,1,1,True
5576,расплатиться,расплачусь,расплатится,4,4,True
5577,числить,числю,числит,4,4,True
5578,исколачиваться,исколачиваюсь,исколачивается,1,1,True
5579,приголубливать,приголубливаю,приголубливает,1,1,True
5580,поликовать,поликую,поликует,2,2,True
5581,прихлебательствовать,прихлебательствую,прихлебательствует,2,2,True
5582,отрулить,отрулю,отрулит,4,4,True
5583,торговаться,торгуюсь,торгуется,2,2,True
5584,поседлать,поседлаю,поседлает,1,1,True
5585,заползти,заползу,заползёт,7з,7з,True
5586,раздробиться,раздроблюсь,раздробится,4,4,True
5587,выразиться,выражусь,выразится,4,4,True
5588,путлять,путляю,путляет,1,1,True
5589,излавливать,излавливаю,излавливает,1,1,True
5590,раскраивать,раскраиваю,раскраивает,1,1,True
5591,утыкать,утыкаю,утыкает,1,1,True
5592,искрашивать,искрашиваю,искрашивает,1,1,True
5593,укомплектовывать,укомплектовываю,укомплектовывает,1,1,True
5594,подслаивать,подслаиваю,подслаивает,1,1,True
5595,прополоть,прополю,прополет,10ол,10ол,True
5596,забалластировать,забалластирую,забалластирует,2,2,True
5597,обезматочеть,обезматочею,обезматочеет,1,1,True
5598,засуслить,засуслю,засуслит,4,4,True
5599,лицензировать,лицензирую,лицензирует,2,2,True
5600,отпаяться,отпаяюсь,отпаяется,1,1,True
5601,лопать,лопаю,лопает,1,1,True
5602,шпариться,шпарюсь,шпарится,4,4,True
5603,обессолить,обессолю,обессолит,4,4,True
5604,выломаться,выломаюсь,выломается,1,1,True
5605,засекретничать,засекретничаю,засекретничает,1,1,True
5606,раздразнить,раздразню,раздразнит,4,4,True
5607,выкроить,выкрою,выкроит,4,4,True
5608,поморочить,поморочу,поморочит,4,4,True
5609,свирепствовать,свирепствую,свирепствует,2,2,True
5610,настирать,настираю,настирает,1,1,True
5611,обессудить,обессужу,обессудит,4,4,True
5612,разбудить,разбужу,разбудит,4,4,True
5613,шерстить,шерстим,шерстит,4,4,True
5614,дошвыривать,дошвыриваю,дошвыривает,1,1,True
5615,препоручать,препоручаю,препоручает,1,1,True
5616,пролезть,пролезу,пролезет,7з,7з,True
5617,отпрыгивать,отпрыгиваю,отпрыгивает,1,1,True
5618,пробежать,пробегу,пробежит,5,5,True
5619,допиливать,допиливаю,допиливает,1,1,True
5620,помалевать,помалюю,помалюет,2,2,True
5621,пульнуть,пульну,пульнёт,3,3,True
5622,расшибаться,расшибаюсь,расшибается,1,1,True
5623,брыкать,брыкаю,брыкает,1,1,True
5624,вылупливать,вылупливаю,вылупливает,1,1,True
5625,обложить,обложу,обложит,4,4,True
5626,обжечься,обожгусь,обожжётся,8г,8г,True
5627,оборачивать,оборачиваю,оборачивает,1,1,True
5628,пасть,паду,падёт,7д,7д,True
5629,измываться,измываюсь,измывается,1,1,True
5630,унизать,унижу,унижет,6,6,True
5631,обштопать,обштопаю,обштопает,1,1,True
5632,пережаривать,пережариваю,пережаривает,1,1,True
5633,переспорить,переспорю,переспорит,4,4,True
5634,огрызать,огрызаю,огрызает,1,1,True
5635,гинуть,гину,гинет,3,3,True
5636,одуматься,одумаюсь,одумается,1,1,True
5637,выломать,выломаю,выломает,1,1,True
5638,подбочениться,подбоченюсь,подбоченится,4,4,True
5639,пережарить,пережарю,пережарит,4,4,True
5640,почивать,почиваю,почивает,1,1,True
5641,натирать,натираю,натирает,1,1,True
5642,доедать,доедаю,доедает,1,1,True
5643,промурлыкать,промурлыкаю,промурлыкает,1,1,True
5644,облегчить,облегчу,облегчит,4,4,True
5645,фрезеровать,фрезерую,фрезерует,2,2,True
5646,посчитаться,посчитаюсь,посчитается,1,1,True
5647,калечиться,калечусь,калечится,4,4,True
5648,позвенеть,позвеню,позвенит,5,5,True
5649,устремлять,устремляю,устремляет,1,1,True
5650,изострять,изостряю,изостряет,1,1,True
5651,прихорашивать,прихорашиваю,прихорашивает,1,1,True
5652,хлястнуть,хлястну,хлястнет,3,3,True
5653,дирижировать,дирижирую,дирижирует,2,2,True
5654,задымить,задымлю,задымит,4,4,True
5655,анкетировать,анкетирую,анкетирует,2,2,True
5656,прографлять,прографляю,прографляет,1,1,True
5657,затолочь,затолку,затолчёт,8к,8к,True
5658,расписываться,расписываюсь,расписывается,1,1,True
5659,осведомляться,осведомляюсь,осведомляется,1,1,True
5660,сбродить,сброжу,сбродит,4,4,True
5661,расшириться,расширюсь,расширится,4,4,True
5662,потаить,потаю,потаит,4,4,True
5663,заквасить,заквашу,заквасит,4,4,True
5664,водрузить,водружу,водрузит,4,4,True
5665,подтрусить,подтрушу,подтрусит,4,4,True
5666,избаловывать,избаловываю,избаловывает,1,1,True
5667,раскапризничаться,раскапризничаюсь,раскапризничается,1,1,True
5668,поддевать,поддеваю,поддевает,1,1,True
5669,законспектировать,законспектирую,законспектирует,2,2,True
5670,обсушивать,обсушиваю,обсушивает,1,1,True
5671,обознаваться,обознаюсь,обознаётся,13,13,True
5672,побрехать,побрешу,побрешет,6,6,True
5673,вынудить,вынужу,вынудит,4,4,True
5674,распложаться,распложаюсь,распложается,1,1,True
5675,зачирикать,зачирикаю,зачирикает,1,1,True
5676,показываться,показываюсь,показывается,1,1,True
5677,перепекаться,перепекаюсь,перепекается,1,1,True
5678,растаивать,растаиваю,растаивает,1,1,True
5679,погонять,погоняю,погоняет,1,1,True
5680,миндальничать,миндальничаю,миндальничает,1,1,True
5681,оголять,оголяю,оголяет,1,1,True
5682,скатываться,скатываюсь,скатывается,1,1,True
5683,зашвартовывать,зашвартовываю,зашвартовывает,1,1,True
5684,наснежить,наснежу,наснежит,4,4,True
5685,взвиваться,взвиваюсь,взвивается,1,1,True
5686,допить,допью,допьёт,11,11,True
5687,смягчаться,смягчаюсь,смягчается,1,1,True
5688,благовестить,благовещу,благовестит,4,4,True
5689,умиряться,умиряюсь,умиряется,1,1,True
5690,докроить,докрою,докроит,4,4,True
5691,высиниться,высинюсь,высинится,4,4,True
5692,заколебаться,заколеблюсь,заколеблется,6,6,True
5693,наврать,навру,наврёт,6,6,True
5694,подломиться,подломлюсь,подломится,4,4,True
5695,полопать,полопаю,полопает,1,1,True
5696,нежить,нежу,нежит,4,4,True
5697,перепластать,перепластаю,перепластает,1,1,True
5698,заегозить,заегожу,заегозит,4,4,True
5699,истомлять,истомляю,истомляет,1,1,True
5700,выпоить,выпою,выпоит,4,4,True
5701,выплакиваться,выплакиваюсь,выплакивается,1,1,True
5702,разбрасывать,разбрасываю,разбрасывает,1,1,True
5703,облобызать,облобызаю,облобызает,1,1,True
5704,чревоугодничать,чревоугодничаю,чревоугодничает,1,1,True
5705,обручаться,обручаюсь,обручается,1,1,True
5706,растранжириться,растранжирюсь,растранжирится,4,4,True
5707,перемахивать,перемахиваю,перемахивает,1,1,True
5708,секретарствовать,секретарствую,секретарствует,2,2,True
5709,прогибаться,прогибаюсь,прогибается,1,1,True
5710,уколупывать,уколупываю,уколупывает,1,1,True
5711,иммунизировать,иммунизирую,иммунизирует,2,2,True
5712,дозволяться,дозволяюсь,дозволяется,1,1,True
5713,скопляться,скопляюсь,скопляется,1,1,True
5714,проспоривать,проспориваю,проспоривает,1,1,True
5715,вкрапливать,вкрапливаю,вкрапливает,1,1,True
5716,подсчитать,подсчитаю,подсчитает,1,1,True
5717,наозорничать,наозорничаю,наозорничает,1,1,True
5718,наброситься,наброшусь,набросится,4,4,True
5719,амортизироваться,амортизироваюсь,амортизировается,2,2,True
5720,спешить,спешу,спешит,4,4,True
5721,ассигновать,ассигную,ассигнует,2,2,True
5722,обезжиривать,обезжириваю,обезжиривает,1,1,True
5723,облеплять,облепляю,облепляет,1,1,True
5724,издырявливаться,издырявливаюсь,издырявливается,1,1,True
5725,разуваться,разуваюсь,разувается,1,1,True
5726,перелистовать,перелистую,перелистует,2,2,True
5727,подшвырнуть,подшвырну,подшвырнёт,3,3,True
5728,угодничать,угодничаю,угодничает,1,1,True
5729,отчаливать,отчаливаю,отчаливает,1,1,True
5730,отъездиться,отъезжусь,отъездится,4,4,True
5731,обслюнявить,обслюнявлю,обслюнявит,4,4,True
5732,сбегаться,сбегаюсь,сбегается,1,1,True
5733,стосковаться,стоскуюсь,стоскуется,2,2,True
5734,видоизменить,видоизменю,видоизменит,4,4,True
5735,осязать,осязаю,осязает,1,1,True
5736,вычленять,вычленяю,вычленяет,1,1,True
5737,расконопатить,расконопачу,расконопатит,4,4,True
5738,опекунствовать,опекунствую,опекунствует,2,2,True
5739,отселять,отселяю,отселяет,1,1,True
5740,искропить,искроплю,искропит,4,4,True
5741,приземлить,приземлю,приземлит,4,4,True
5742,затворяться,затворяюсь,затворяется,1,1,True
5743,задрыгать,задрыгаю,задрыгает,1,1,True
5744,уписываться,уписываюсь,уписывается,1,1,True
5745,набраковывать,набраковываю,набраковывает,1,1,True
5746,затоптаться,затопчусь,затопчется,6,6,True
5747,отсыпаться,отсыпаюсь,отсыпается,1,1,True
5748,надавать,надаю,надаёт,13,13,True
5749,сболтать,сболтаю,сболтает,1,1,True
5750,подтанцовывать,подтанцовываю,подтанцовывает,1,1,True
5751,отрекаться,отрекаюсь,отрекается,1,1,True
5752,выкушать,выкушаю,выкушает,1,1,True
5753,ворсовать,ворсую,ворсует,2,2,True
5754,дезорганизоваться,дезорганизуюсь,дезорганизуется,2,2,True
5755,пробудиться,пробужусь,пробудится,4,4,True
5756,дострочить,дострочу,дострочит,4,4,True
5757,загачивать,загачиваю,загачивает,1,1,True
5758,отламывать,отламываю,отламывает,1,1,True
5759,залезть,залезу,залезет,7з,7з,True
5760,изнемогать,изнемогаю,изнемогает,1,1,True
5761,балакать,балакаю,балакает,1,1,True
5762,обмылиться,обмылюсь,обмылится,4,4,True
5763,натискивать,натискиваю,натискивает,1,1,True
5764,испускать,испускаю,испускает,1,1,True
5765,вскальзывать,вскальзываю,вскальзывает,1,1,True
5766,принудить,принужу,принудит,4,4,True
5767,приживляться,приживляюсь,приживляется,1,1,True
5768,чиркнуть,чиркну,чиркнет,3,3,True
5769,кокнуться,кокнусь,кокнется,3,3,True
5770,отчубучить,отчубучу,отчубучит,4,4,True
5771,отгуливать,отгуливаю,отгуливает,1,1,True
5772,отпахиваться,отпахиваюсь,отпахивается,1,1,True
5773,вычислять,вычисляю,вычисляет,1,1,True
5774,обмишуливаться,обмишуливаюсь,обмишуливается,1,1,True
5775,шоферить,шоферю,шоферит,4,4,True
5776,пережигать,пережигаю,пережигает,1,1,True
5777,исповедаться,исповедаюсь,исповедается,1,1,True
5778,умазывать,умазываю,умазывает,1,1,True
5779,отыгрываться,отыгрываюсь,отыгрывается,1,1,True
5780,опрощаться,опрощаюсь,опрощается,1,1,True
5781,засвистеть,засвищу,засвистит,5,5,True
5782,кашлять,кашляю,кашляет,1,1,True
5783,воспарять,воспаряю,воспаряет,1,1,True
5784,перепугать,перепугаю,перепугает,1,1,True
5785,пивать,пиваю,пивает,1,1,True
5786,вьюжить,вьюжу,вьюжит,4,4,True
5787,разнуздываться,разнуздываюсь,разнуздывается,1,1,True
5788,врубаться,врубаюсь,врубается,1,1,True
